AMRVAC
it   t   dt    d s1 s2 s3 tau b1 b2 b3 lfac xi c1 c2 c3 n1 n2 n3| Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
    330  1.3137E-01  4.0607E-04  5.6250E-01  1.1823E-01 -1.3137E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.9429E-16  0.0000E+00  1.0286E+00  1.6681E+00  6.8750E-01  7.8125E-02  2.3438E-01      22       5      30 |   1.07E+00  1.07E+00  1.98E+05  1.42E+01  4.24E+00  3.17E-04
    340  1.3543E-01  4.0608E-04  5.6250E-01  1.2188E-01 -1.3543E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.6653E-16  0.0000E+00  1.0295E+00  1.6682E+00  6.8750E-01  7.8125E-02  2.3438E-01      22       5      30 |   1.07E+00  1.07E+00  2.00E+05  1.42E+01  4.21E+00  3.09E-04
    350  1.3949E-01  4.0609E-04  5.6250E-01  1.2554E-01 -1.3949E-01  0.0000E+00  1.1750E+00  5.0000E-01  2.6368E-16  0.0000E+00  1.0304E+00  1.6684E+00  6.5625E-01  1.0938E-01  2.3438E-01      21       7      30 |   1.07E+00  1.07E+00  1.73E+05  1.45E+01  4.96E+00  3.59E-04
    360  1.4355E-01  4.0610E-04  5.6250E-01  1.2919E-01 -1.4355E-01  0.0000E+00  1.1750E+00  5.0000E-01  2.7756E-16  0.0000E+00  1.0313E+00  1.6685E+00  6.5625E-01  1.0938E-01  2.3438E-01      21       7      30 |   1.07E+00  1.07E+00  1.82E+05  1.45E+01  4.72E+00  3.36E-04
    370  1.4761E-01  4.0611E-04  5.6250E-01  1.3285E-01 -1.4761E-01  0.0000E+00  1.1750E+00  5.0000E-01  2.4980E-16  0.0000E+00  1.0322E+00  1.6686E+00  6.5625E-01  1.0938E-01  2.3438E-01      21       7      30 |   1.07E+00  1.07E+00  1.94E+05  1.45E+01  4.41E+00  3.09E-04
    380  1.5167E-01  4.0612E-04  5.6250E-01  1.3650E-01 -1.5167E-01  0.0000E+00  1.1750E+00  5.0000E-01  3.8858E-16  0.0000E+00  1.0331E+00  1.6687E+00  6.5625E-01  1.0938E-01  2.3438E-01      21       7      30 |   1.07E+00  1.07E+00  1.92E+05  1.45E+01  4.47E+00  3.09E-04
    390  1.5573E-01  4.0613E-04  5.6250E-01  1.4016E-01 -1.5573E-01  0.0000E+00  1.1750E+00  5.0000E-01  2.3592E-16  0.0000E+00  1.0340E+00  1.6688E+00  6.5625E-01  9.3750E-02  2.5000E-01      21       6      32 |   1.07E+00  1.07E+00  1.95E+05  1.48E+01  4.47E+00  3.03E-04
    400  1.5979E-01  4.0613E-04  5.6250E-01  1.4381E-01 -1.5979E-01  0.0000E+00  1.1750E+00  5.0000E-01  3.0531E-16  0.0000E+00  1.0349E+00  1.6689E+00  6.2500E-01  1.0938E-01  2.6562E-01      20       7      34 |   1.07E+00  1.07E+00  2.03E+05  1.52E+01  4.45E+00  2.97E-04
    410  1.6386E-01  4.0614E-04  5.6250E-01  1.4747E-01 -1.6386E-01  0.0000E+00  1.1750E+00  5.0000E-01  3.8858E-16  0.0000E+00  1.0358E+00  1.6690E+00  6.2500E-01  1.2500E-01  2.5000E-01      20       8      32 |   1.00E+00  1.00E+00  1.98E+05  1.50E+01  4.47E+00  2.93E-04
    420  1.6792E-01  4.0615E-04  5.6250E-01  1.5112E-01 -1.6792E-01  0.0000E+00  1.1750E+00  5.0000E-01  3.1919E-16  0.0000E+00  1.0366E+00  1.6692E+00  6.2500E-01  1.2500E-01  2.5000E-01      20       8      32 |   1.00E+00  1.00E+00  2.00E+05  1.50E+01  4.43E+00  2.86E-04
